iter	Logloss
0	0.6711336632
1	0.6452274785
2	0.6266830705
3	0.6098932202
4	0.5927874839
5	0.5766822838
6	0.5619993131
7	0.5491952972
8	0.5368623812
9	0.5221424176
10	0.5080528152
11	0.4987032655
12	0.4846031759
13	0.4762626307
14	0.4641648699
15	0.4573364648
16	0.4494895326
17	0.4432308016
18	0.4372504377
19	0.4283098085
20	0.4210814392
21	0.4129586149
22	0.4080549541
23	0.4017655987
24	0.3967502742
25	0.3904810531
26	0.3835925531
27	0.3784093823
28	0.3752864564
29	0.3703969881
30	0.3655641092
31	0.3606662777
32	0.3558510032
33	0.35108972
34	0.3464584317
35	0.3416966987
36	0.3373081086
37	0.3343558656
38	0.3299576255
39	0.3264331182
40	0.3244996262
41	0.3224035698
42	0.3206929099
43	0.3182639631
44	0.315504669
45	0.3138448684
46	0.3113007965
47	0.3083246772
48	0.3071636275
49	0.3045600621
50	0.3012550622
51	0.2995576409
52	0.2980337428
53	0.2967819724
54	0.293813192
55	0.2906934351
56	0.2885344252
57	0.2870410607
58	0.28591118
59	0.2844395215
60	0.2819037174
61	0.2803299998
62	0.2790163224
63	0.2774189325
64	0.2756743362
65	0.2738406215
66	0.2720286619
67	0.2702656206
68	0.2684557181
69	0.2672796712
70	0.2661708931
71	0.2650660299
72	0.2629135006
73	0.2616581497
74	0.2608135228
75	0.2594464668
76	0.2582865694
77	0.2571400775
78	0.2560045367
79	0.2544905174
80	0.2534452026
81	0.252816501
82	0.2517652864
83	0.2510702788
84	0.2500249184
85	0.2489187913
86	0.2482490471
87	0.247021602
88	0.245725835
89	0.2443798678
90	0.2433420308
91	0.2420607128
92	0.2411402565
93	0.2396440339
94	0.2384580024
95	0.2373620893
96	0.2362306532
97	0.2351748758
98	0.2340560479
99	0.2330795395
100	0.2321931572
101	0.2313900452
102	0.2304607072
103	0.2287779619
104	0.2272968087
105	0.2263707811
106	0.2257093345
107	0.2244482923
108	0.2234792231
109	0.222658619
110	0.2217313602
111	0.220891481
112	0.2199882447
113	0.2191378203
114	0.2181520745
115	0.2171672564
116	0.2165243807
117	0.2156401374
118	0.2145711138
119	0.2132354033
120	0.212118335
121	0.2106334425
122	0.2100973945
123	0.2094719947
124	0.2083453859
125	0.2077176328
126	0.2073600111
127	0.2068544819
128	0.2057440507
129	0.2048120687
130	0.2042486777
131	0.2037212344
132	0.2031354517
133	0.2026167385
134	0.2013276561
135	0.2000661129
136	0.1988926792
137	0.1982375363
138	0.1974771622
139	0.1969222206
140	0.1963330027
141	0.1952569127
142	0.194725825
143	0.1939782122
144	0.1932376731
145	0.1923432299
146	0.1916525265
147	0.1905878164
148	0.1895195909
149	0.1891385072
150	0.1886039724
151	0.1880824743
152	0.1873116693
153	0.1865280819
154	0.1859651694
155	0.1854289322
156	0.1840136333
157	0.1832787297
158	0.1823103798
159	0.1813109318
160	0.1805698523
161	0.1792990642
162	0.1782964057
163	0.177734257
164	0.1770080163
165	0.1763623009
166	0.1759537613
167	0.1751430103
168	0.1736725269
169	0.1727390763
170	0.1720103397
171	0.1716415745
172	0.171316637
173	0.1707472824
174	0.1701984412
175	0.1696924088
176	0.1685880615
177	0.1677544044
178	0.1671803482
179	0.1666444552
180	0.1658972575
181	0.1650496503
182	0.1641979989
183	0.1632902591
184	0.162558219
185	0.1621693092
186	0.1615613069
187	0.1610051008
188	0.1602596447
189	0.1594860439
190	0.1587338032
191	0.1582563217
192	0.1576246298
193	0.1572962895
194	0.1567621219
195	0.1562217081
196	0.1556346198
197	0.154926318
198	0.1543635431
199	0.1537387143
200	0.1531198537
201	0.1526357852
202	0.1519266323
203	0.1512979429
204	0.1505411014
205	0.1500605225
206	0.1494944156
207	0.1489148425
208	0.1484313028
209	0.1480348359
210	0.1475538151
211	0.147068836
212	0.1466808937
213	0.1460095992
214	0.1457593345
215	0.1453448279
216	0.1445781723
217	0.144077003
218	0.1433881581
219	0.1429126977
220	0.1422304677
221	0.1419864728
222	0.1413800531
223	0.1409877661
224	0.1405225236
225	0.1401424107
226	0.1395536699
227	0.1392297822
228	0.1389071262
229	0.1381914924
230	0.1379482757
231	0.1375402885
232	0.1366879996
233	0.1361640177
234	0.1357515126
235	0.1355281473
236	0.13507332
237	0.1344215162
238	0.1340287764
239	0.1335676602
240	0.1330768779
241	0.1326998127
242	0.1322634217
243	0.131694744
244	0.1312477948
245	0.1307489582
246	0.1302194248
247	0.1298796126
248	0.129241558
249	0.1288228842
250	0.1282711552
251	0.1276703648
252	0.1271145155
253	0.1265080363
254	0.1261167721
255	0.1256092943
256	0.125185072
257	0.1247403457
258	0.1240580519
259	0.1238602089
260	0.1233757937
261	0.1229149675
262	0.1225624183
263	0.1218442623
264	0.1213688085
265	0.1209669363
266	0.1207818092
267	0.1203865808
268	0.119771171
269	0.1191654677
270	0.1187126167
271	0.1183318567
272	0.1178660846
273	0.1175248598
274	0.1169973213
275	0.1165758408
276	0.1158592014
277	0.1155361364
278	0.1151819763
279	0.1145866618
280	0.1140329761
281	0.1137042028
282	0.1129399044
283	0.1125691371
284	0.1122630127
285	0.1118286161
286	0.111517339
287	0.1110839169
288	0.1106329099
289	0.1102118767
290	0.1097832823
291	0.1094088054
292	0.1091256211
293	0.1085323022
294	0.1081367328
295	0.1075889352
296	0.1069066504
297	0.1067255182
298	0.1064554899
299	0.1061347989
300	0.1058308179
301	0.1055259419
302	0.1050495333
303	0.1047167298
304	0.1043051403
305	0.1038213209
306	0.103315706
307	0.1030419977
308	0.1025443504
309	0.1021246106
310	0.1016386761
311	0.1012595959
312	0.1009247348
313	0.1005719341
314	0.099886413
315	0.09961211594
316	0.09917846894
317	0.09872067789
318	0.09832920645
319	0.09805719177
320	0.0978662996
321	0.0974543285
322	0.09717117395
323	0.09662721153
324	0.09613483211
325	0.09557620996
326	0.09500773649
327	0.09472089833
328	0.09405069322
329	0.09360789009
330	0.09311312358
331	0.09280407272
332	0.0923670487
333	0.09194788928
334	0.09169613367
335	0.09133856431
336	0.09084001124
337	0.09034981088
338	0.08973572858
339	0.08951056761
340	0.08896826672
341	0.0884608984
342	0.08827809576
343	0.08794924184
344	0.08755150833
345	0.08688130681
346	0.08656190338
347	0.08630536802
348	0.08602334633
349	0.08572404354
350	0.0854029139
351	0.08518998819
352	0.08487586522
353	0.08448527075
354	0.08431535594
355	0.08387791201
356	0.0835195287
357	0.08302089431
358	0.08249003823
359	0.08211942949
360	0.08165929637
361	0.08143796131
362	0.08108297317
363	0.0807877527
364	0.08037397164
365	0.08006764916
366	0.07977927903
367	0.07955673528
368	0.07921873253
369	0.07884942676
370	0.07857890236
371	0.07810382188
372	0.07782898946
373	0.0773375038
374	0.0769984494
375	0.07662793784
376	0.07613127771
377	0.07588328412
