EXP_NAME,EXPERIMENTER,MODEL_FAMILY,SEED,N_FOLDS,FEATURE_MODE,SCALER_TYPE,USE_PCA,PCA_N_COMPONENTS,IMBALANCE_MODE,train_size,cv_f1_macro_mean,cv_f1_macro_std,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,C,class_weight,dual,fit_intercept,intercept_scaling,loss,max_iter,multi_class,penalty,random_state,tol,verbose
37A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.048824310302734375,,,0.01,,True,True,1.0,squared_hinge,1000,ovr,l2,42,0.001,1
38A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.05770134925842285,,,0.01,,False,True,1.0,squared_hinge,1000,ovr,l2,42,0.001,1
39A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.08186101913452148,,,0.01,,True,True,1.0,hinge,1000,ovr,l2,42,0.001,1
40A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.05640435218811035,,,0.01,,False,True,1.0,squared_hinge,1000,ovr,l1,42,0.001,1
41A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.04351234436035156,,,0.01,,True,True,1.0,squared_hinge,5000,ovr,l2,42,0.001,1
42A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.07753205299377441,,,0.01,,False,True,1.0,squared_hinge,5000,ovr,l2,42,0.001,1
43A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.04330611228942871,,,0.01,,True,True,1.0,hinge,5000,ovr,l2,42,0.001,1
44A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.03622269630432129,,,0.01,,False,True,1.0,squared_hinge,5000,ovr,l1,42,0.001,1
45A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.04856586456298828,,,0.01,,True,True,1.0,squared_hinge,10000,ovr,l2,42,0.001,1
46A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.07801485061645508,,,0.01,,False,True,1.0,squared_hinge,10000,ovr,l2,42,0.001,1
47A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.07300448417663574,,,0.01,,True,True,1.0,hinge,10000,ovr,l2,42,0.001,1
48A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.045900583267211914,,,0.01,,False,True,1.0,squared_hinge,10000,ovr,l1,42,0.001,1
49A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.057433128356933594,,,0.01,,True,True,1.0,squared_hinge,50000,ovr,l2,42,0.001,1
50A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.03454399108886719,,,0.01,,False,True,1.0,squared_hinge,50000,ovr,l2,42,0.001,1
51A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.04102897644042969,,,0.01,,True,True,1.0,hinge,50000,ovr,l2,42,0.001,1
52A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.46428571428571425,5.551115123125783e-17,,,0.03401899337768555,,,0.01,,False,True,1.0,squared_hinge,50000,ovr,l1,42,0.001,1
53A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.061009883880615234,,,0.01,,True,True,1.0,squared_hinge,1000,ovr,l2,42,0.0001,1
54A,Zuha,svm,42,3,img+text,standard,True,64,none,1530,0.576358481270603,0.050612213780185815,,,0.03603100776672363,,,0.01,,False,True,1.0,squared_hinge,1000,ovr,l2,42,0.0001,1
