EXP_NAME,EXPERIMENTER,MODEL_FAMILY,FEATURE_MODE,SEED,N_FOLDS,VALIDATION_SCHEME,VAL_SIZE,VAL_STRATIFY,USE_STRATIFIED_KFOLD,SHUFFLE_FOLDS,FOLDS_RANDOM_STATE,SCALER_TYPE,MISSING_VALUE_STRATEGY,MISSING_FILL_VALUE,USE_PCA,PCA_N_COMPONENTS,PCA_WHITEN,PCA_SVD_SOLVER,IMBALANCE_MODE,DECISION_THRESHOLD,train_size,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_per_fold,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,config_json
37A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.048824310302734375,,,
38A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.05770134925842285,,,
39A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.08186101913452148,,,
40A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.05640435218811035,,,
41A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.04351234436035156,,,
42A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.07753205299377441,,,
43A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.04330611228942871,,,
44A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03622269630432129,,,
45A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.04856586456298828,,,
46A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.07801485061645508,,,
47A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.07300448417663574,,,
48A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.045900583267211914,,,
49A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.057433128356933594,,,
50A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.03454399108886719,,,
51A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.04102897644042969,,,
52A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03401899337768555,,,
53A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.061009883880615234,,,
54A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.03603100776672363,,,
55A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03010702133178711,,,
56A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.06749892234802246,,,
57A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.049498558044433594,,,
58A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.032122135162353516,,,
59A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.02859807014465332,,,
60A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.04801130294799805,,,
61A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.08979463577270508,,,
62A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.576358481270603,0.050612213780185815,"[0.6293011050744725, 0.5916029123701815, 0.5081714263671548]",,,0.06873607635498047,,,
63A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.026108741760253906,,,
64A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.46428571428571425,5.551115123125783e-17,"[0.4642857142857143, 0.4642857142857143, 0.4642857142857143]",,,0.03524422645568848,,,
