EXP_NAME,EXPERIMENTER,MODEL_FAMILY,SEED,N_FOLDS,FEATURE_MODE,SCALER_TYPE,USE_PCA,PCA_N_COMPONENTS,IMBALANCE_MODE,train_size,cv_f1_macro_mean,cv_f1_macro_std,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,C,gamma,kernel,probability,random_state
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,False,256,none,1530,0.5898234718244324,0.025665317457626284,,,54.924864053726196,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,256,none,1530,0.5951010696419412,0.019954898576702785,,,17.78332829475403,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,64,none,1530,0.5636237523915282,0.02537893456537168,,,5.767560243606567,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,128,none,1530,0.5885820955791711,0.018795789061941882,,,8.500005960464478,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,512,none,1530,0.5898234718244324,0.025665317457626284,,,21.18013596534729,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,256,none,1530,0.5951010696419412,0.019954898576702785,,,8.860709190368652,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,none,1530,0.5951010696419412,0.019954898576702785,,,9.796876907348633,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,256,none,1530,0.5951010696419412,0.019954898576702785,,,10.041308164596558,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5978869352247831,0.03424177277931092,,,10.922637462615967,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5699356719896128,0.020568428133469804,,,12.057605743408203,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",8,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5978869352247831,0.03424177277931092,,,8.910858154296875,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5699356719896128,0.020568428133469804,,,12.346366882324219,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5964231986548747,0.03148062159235647,,,10.221498727798462,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",0.5,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.6151509657371502,0.0423804200277307,,,15.969698429107666,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",0.1,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.6004898043837352,0.052837303824605886,,,11.586389303207397,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",0.2,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5999766665121763,0.04674078894050556,,,13.278402090072632,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",0.3,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5959234250063895,0.0385193661111235,,,11.582608461380005,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",0.4,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5694052816984072,0.021023186253249657,,,10.711889743804932,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",6.0,balanced,scale,rbf,True,42
