commit_hash,date,author,subject,status,file_path,old_file_path
7347d99f26c19218c672984c855ad58648d05d00,2025-11-19,Zuha Aqib,"made a code which extracts all the git history in a csv with required info, will use for a readme",A,extract_git_history.py,
341fc1dbf6acda93a2f31d5d47732b5d07cc0172,2025-11-19,Zuha Aqib,"makes a structure in a txt of the repo, will use for making readme",A,structure-maker.py,
4f664bbe4a7ef16445860f885e30e827f689a65f,2025-11-18,Zuha Aqib,0.7106,M,logs/experiments_log_Zuha.csv,
4f664bbe4a7ef16445860f885e30e827f689a65f,2025-11-18,Zuha Aqib,0.7106,M,submissions/ensemble_Zuha_Ensemble_XGB_AdaBoost.csv,
a923cfea3a99725fec742c6108d80210981a63cf,2025-11-18,Zuha Aqib,0.6047,M,submissions/submission_linear_logreg_ensemble.csv,
d59a9aa8e7c1be869ad22154ad9664ff6cf38741,2025-11-18,Zuha Aqib,0.6000,M,submissions/submission_linear_logreg_ensemble.csv,
64dcac675bb46c0dcf99e3f02cea2e962000464a,2025-11-18,Zuha Aqib,"""dunno maham is submitting""",M,submissions/submission_linear_logreg_ensemble.csv,
fa2cb8f1ee0ca92c9b3b65bef8b1bfa4d4a75201,2025-11-18,Zuha Aqib,0.7132,A,submissions/submission_linear_logreg_ensemble.csv,
17fc8c112be6d6aeb78aec9633161b70509b433c,2025-11-18,Zuha Aqib,renamed logreg+xgb,R100,16-logreg_xgb-ensemble.ipynb,16-new.ipynb
17fc8c112be6d6aeb78aec9633161b70509b433c,2025-11-18,Zuha Aqib,renamed logreg+xgb,R100,submissions/logreg_xgb-ensemble.csv,submission.csv
588f83b41b872bd594990202667917baefbc7279,2025-11-18,Zuha Aqib,0.7636,M,submissions/random_Zuha.csv,
a33e82a21cffcd0e8299b6126b5c0570c50c9d43,2025-11-17,Zuha Aqib,fixed file type (added .ipynb at the end),R100,14-logreg_linearSVM-ensemble.ipynb,14-logreg_linearSVM-ensemble
a33e82a21cffcd0e8299b6126b5c0570c50c9d43,2025-11-17,Zuha Aqib,fixed file type (added .ipynb at the end),R100,15-highest-running.ipynb,15-highest-running
3e745f9391a0c84a31e52bba8710e344948394f3,2025-11-17,Zuha Aqib,Merge branches 'main' and 'main' of https://github.com/z-aqib/ml-competition,,,
506eb9b61e2d58d1bcfe0985685133a329649717,2025-11-17,Zuha Aqib,0.5753,A,16-new.ipynb,
